dataset_index,stops,load,len_m,cost_m,energy_net_Wh,energy_gross_Wh,energy_regen_Wh,charge_cnt,charge_time_h,feasible,dataset_index
17,236,250,28085.35488,27764.61996,7586.434855,8339.949487,960.8915976,0,0,True,17
17,290,300,24041.2646,24132.26764,5757.785827,5918.774811,166.2701508,0,0,True,17
17,258,300,28370.5968,28008.46246,7632.474347,8643.317628,1124.452468,0,0,True,17
17,271,300,27640.44885,27626.01608,6914.059792,7220.762833,310.8298676,0,0,True,17
17,221,300,29806.41715,29904.73846,7458.808468,7804.778951,355.6045094,0,0,True,17
17,270,300,28829.23867,29082.22274,7580.763929,7977.37801,416.6033669,0,0,True,17
17,255,300,28187.8254,27974.908,7887.895745,8491.916094,630.8356752,0,0,True,17
18,276,300,19557.21553,19551.90494,4795.318348,5148.59583,358.8620812,0,0,True,18
18,249,300,22242.08884,21922.48314,6950.170543,7970.147668,1358.553218,0,0,True,18
18,259,300,21014.54396,20922.58114,6557.327803,7435.332464,1203.142124,0,0,True,18
18,93,103,12507.56859,12141.60061,4032.300818,4755.914686,1228.280772,0,0,True,18
18,257,300,23794.37247,23918.13904,7027.688543,7970.159776,1261.470683,0,0,True,18
18,270,300,21043.9269,21118.43987,6287.291928,6983.120354,791.9554684,0,0,True,18
18,197,243,21018.69848,20728.89899,6295.548257,7400.828718,1460.894124,0,0,True,18
18,232,300,17021.9983,17098.49031,4578.088907,4933.638922,360.6556683,0,0,True,18
19,259,300,37605.6804,37806.81371,10059.4471,10661.74477,618.2558048,0,0,True,19
19,273,300,27779.06003,27747.39498,6736.137379,6968.286132,234.6989762,0,0,True,19
19,256,300,26474.87262,26605.97333,6720.758267,6936.693629,219.2707973,0,0,True,19
19,290,300,29804.29824,29694.91011,7188.936849,7402.268054,218.1984246,0,0,True,19
19,271,300,28252.58036,28457.50584,7522.846634,8091.624526,599.1841981,0,0,True,19
19,263,288,30605.0777,30832.05995,8410.869158,9020.825063,643.8916841,0,0,True,19
19,294,300,31593.01689,31686.80745,7942.268621,8348.725599,410.3816982,0,0,True,19
19,259,300,22785.08254,22914.5912,5836.694351,6030.396239,196.2236529,0,0,True,19
20,250,300,19299.46893,19305.29756,4578.493282,4641.234804,62.83630008,0,0,True,20
20,251,300,29770.44445,29885.71448,7884.216674,8210.396683,330.4714647,0,0,True,20
20,250,300,28601.94966,28282.63172,6693.1645,6788.635988,95.65495222,0,0,True,20
20,280,300,21669.5172,21706.20139,5102.923503,5154.243742,51.32023935,0,0,True,20
20,199,300,31741.0559,31819.08812,7579.567211,7676.086539,96.51932762,0,0,True,20
20,210,300,24595.43566,24644.45184,6152.922452,6341.702895,193.1408023,0,0,True,20
20,225,279,30382.08254,30609.40699,8111.1762,8528.18585,439.3432315,0,0,True,20
20,146,193,23019.14854,23009.54591,6359.78892,6794.853828,485.6795564,0,0,True,20
20,206,300,21335.70908,21463.91821,5575.711271,5791.179383,217.0260366,0,0,True,20
20,197,300,22924.7282,23168.81894,6370.325129,6625.434815,265.1512375,0,0,True,20
20,243,300,22758.10498,22785.13935,5347.181031,5419.208743,72.06588507,0,0,True,20
20,277,300,22356.71846,22397.75256,5257.120034,5328.871133,71.9807852,0,0,True,20
21,62,299,12663.788,12664.01448,3004.917194,3075.45554,70.538345,0,0,True,21
21,255,300,25969.56778,25869.64721,6315.726434,6484.417896,169.2663593,0,0,True,21
21,200,300,39336.79627,39082.02743,10797.65907,11450.68711,775.0361722,0,0,True,21
21,196,300,23764.5135,23744.85354,5828.57982,6131.330367,305.6453738,0,0,True,21
21,227,300,22557.87227,22339.19551,6139.646496,6531.263492,417.0620718,0,0,True,21
21,233,300,19946.26142,20010.08237,4874.455521,4976.031122,101.5756016,0,0,True,21
21,223,300,24913.32775,24953.79308,5908.763722,6110.932572,202.1688492,0,0,True,21
21,120,300,36087.43981,36310.28716,9209.626758,9725.101131,518.2056622,0,0,True,21
21,75,300,24411.54778,24424.73826,6034.806319,6191.715789,156.912734,0,0,True,21
21,252,300,21998.48443,22044.46904,5218.298589,5283.889893,65.59130433,0,0,True,21
21,194,300,23722.2203,23771.71445,6001.859559,6321.894087,321.6264597,0,0,True,21
21,64,173,37787.3548,37141.26198,10759.99076,11350.66306,641.5520205,0,0,True,21
21,219,300,36173.48802,36068.74889,9092.508715,9503.305152,482.7375947,0,0,True,21
21,204,300,29069.2978,29174.07135,7910.232422,8353.543468,451.9758186,0,0,True,21
21,247,300,26968.38169,26814.12576,6768.069234,6981.316629,216.6833456,0,0,True,21
21,181,300,23679.42522,23427.34655,5615.103034,5786.784805,172.0971832,0,0,True,21
21,225,300,23713.35568,23703.21983,5856.318399,5983.242895,126.9244953,0,0,True,21
22,72,104,23261.99798,23081.53706,5836.754912,6585.841284,878.297193,0,0,True,22
23,2,2,1145.370164,1149.201834,275.7762107,281.1761337,5.399923038,0,0,True,23
24,248,300,21711.26102,21732.13423,5106.394861,5214.872769,108.6649123,0,0,True,24
24,258,300,17313.49064,17372.26778,4113.568462,4224.390429,110.8239831,0,0,True,24
24,289,300,28646.68985,28744.54873,6979.377123,7157.9663,181.2612583,0,0,True,24
